res  cpu      64x32    256x128  512x256  1024x512
1    912.362  635.324  516.708  527.774  552.08
2.5  3409.83  2244.85  1830.13  1912.16  2038.69
4    8369.37  5410.1   4353.47  4462.98  4952.62
8    23513.5  15036.4  12137.5  12241.9  13581
